Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
C6A33E.M0.PAX	0.0475959361672975	0	0.0286178578485074	0.217892962589657	0	0	0.0049762007259736	6.49309235207654e-05	0.145075405685077	0	0.113428152185046	0	0.207726808498494	0.00902590901596142	0	0	0	0	0.00178479094188722	0	0	0.223811045418578	0	0.696609959087399	0.735045348358066
CC8448.M0.NSB	0.0729892610430339	0.183266137356273	0.0542675092227205	0.0820169408171812	0	0.0224877847791631	0	0.0481762635278338	0.0820156706696882	0	0	0.0922412429918553	0.0434525298416754	0	0.0945853744973029	0	0.00526719932236958	0.0477557195462427	0	0.107723514932036	0	0.0637548514526243	0	0.531494982096127	0.847834026370568
CC8448.M0.PAX	0.195974355762637	0	0.033197773885822	0.153956393207227	0.0532826072173352	0	0.00400216963328148	0	0.129394506297195	0	0.0557758091853238	0.0172936528742311	0.21593979565214	0	0.000875981987884221	0.0075351127047863	0	0.00122272426995718	0.00754401341112865	0	0	0.12400510391105	0	0.687433766308298	0.751841224023815
CN2955.M0.PAX	0.0836365580839733	0	0.025822913240541	0.173961568783039	0	0.0117992598887713	0	0	0.210103891304613	0	0.157282930276763	0	0.218796664584641	0	0	0.00439149347196764	0	0	0.00259662267753494	0	0	0.111608097688156	0	0.729583981294547	0.717961887904583
CN8830.M0.NSB	0.00315657422919765	0.0216744710496813	0.00892974081272931	0.144897852200971	0	0.158615400169703	0	0.0805272905236928	0.158820989295535	0	0	0.117991503410832	0.0228282891176059	0	0.0329376903968595	0	0.0609630464255925	0	0	0.12140719723343	0.0051529487948337	0.0620970063393369	0	0.717244462602771	0.72133014846584
CN8830.M0.PAX	0.176412512201317	0	0.0851697715148557	0.295700291140673	0	0	0	0	0.127746010816132	0	0.0563643378857219	0.0561884157740064	0.119719482825234	0.00926150277247209	0	0.00220631463471706	0	0	0.00328362536752807	0	0	0.0679477350673433	0	0.64368806419542	0.773890449473148
CP6021.M0.NSB	0.0879222971019476	0.124329410318169	0.062991434485187	0.181990105919276	0	0.0543161917716598	0	0.0528389142050521	0.184767211572317	0	0	0.0518752951499857	0.0338828322780441	0.00119617130890139	0.0200922158560255	0.0149199079008476	0.0117361894369556	0.00496021069447257	0.010047455959117	0.0274997539354795	0	0.0746344021065626	0	0.445131544909085	0.896556434645476
CP6021.M0.PAX	0.106164892379082	0	0.0178936148007415	0.276779600772469	0	0	0.00557318748425516	0	0.126750363459084	0	0.0882353457345654	0	0.148225673008218	0.00253433493803592	0	0.000929208789601655	0	0	0.000491021666141156	0	0	0.226422756967805	0	0.788968057585507	0.664354585024486
CQ0962.M0.NSB	0.00997350854740798	0.0714717837155945	0.0060618096924866	0.0986178747317864	0	0.0555060757201396	0	0.00931539801124659	0.109117070981524	0.0427050952962809	0.0321859008183322	0	0	0	0.0107559697492598	0.0290070000634078	0.00378260401233062	0.0120877188177994	0.0764560304296796	0.0110814005362044	0	0.42187475887652	0	0.636650609111648	0.772628423313421
CQ0962.M0.PAX	0.1922726046343	0	0.0730930388689615	0.210500038228408	0.025024568575833	0	0.0141541840716997	0	0.205510658068108	0	0.0607011896836743	0.0251207208800053	0.0803369101793739	0.00754365232792174	0	0	0.00716941169531222	0	0.0188989345578848	0	0	0.0796740882285172	0	0.72446327400839	0.720871300382955
